"filename", "language", "TOML", "Rust", "comment", "blank", "total"
"/home/kenny/projects/aion/Cargo.lock", "TOML", 2488, 0, 2, 290, 2780
"/home/kenny/projects/aion/Cargo.toml", "TOML", 27, 0, 1, 4, 32
"/home/kenny/projects/aion/archive/code.rs", "Rust", 0, 0, 129, 16, 145
"/home/kenny/projects/aion/src/archetypes.rs", "Rust", 0, 261, 17, 23, 301
"/home/kenny/projects/aion/src/audio.rs", "Rust", 0, 93, 1, 14, 108
"/home/kenny/projects/aion/src/avatars.rs", "Rust", 0, 111, 4, 8, 123
"/home/kenny/projects/aion/src/components.rs", "Rust", 0, 382, 1, 32, 415
"/home/kenny/projects/aion/src/draw.rs", "Rust", 0, 142, 9, 28, 179
"/home/kenny/projects/aion/src/draw_bodies.rs", "Rust", 0, 165, 14, 17, 196
"/home/kenny/projects/aion/src/game.rs", "Rust", 0, 167, 41, 31, 239
"/home/kenny/projects/aion/src/gui.rs", "Rust", 0, 254, 25, 30, 309
"/home/kenny/projects/aion/src/init.rs", "Rust", 0, 44, 0, 8, 52
"/home/kenny/projects/aion/src/logging.rs", "Rust", 0, 14, 0, 2, 16
"/home/kenny/projects/aion/src/main.rs", "Rust", 0, 211, 40, 43, 294
"/home/kenny/projects/aion/src/pixel.rs", "Rust", 0, 151, 7, 16, 174
"/home/kenny/projects/aion/src/scenario.rs", "Rust", 0, 95, 5, 9, 109
"/home/kenny/projects/aion/src/systems.rs", "Rust", 0, 453, 72, 55, 580
"/home/kenny/projects/aion/src/time.rs", "Rust", 0, 99, 0, 8, 107
"/home/kenny/projects/aion/src/util.rs", "Rust", 0, 7, 0, 1, 8
"Total", "-", 2515, 2649, 368, 635, 6167
